date,campaign_id,campaign_name,channel,source_medium,ad_group,creative_type,device,region,audience_segment,landing_page,funnel_stage,impressions,clicks,sessions,conversions,conversion_rate,cost_krw,revenue_krw,avg_order_value_krw,roas,bounce_rate,cart_adds,checkout_starts,signups,email_opt_ins,coupon_uses,returning_user_rate,quality_score,experiment_group
2026-02-24,CMP-2026-010,Weekend_Flash_Sale,Display,programmatic_cpm,Promo_Seekers,Product_Feed,Mobile,Ulsan,New_Prospects,/pricing,Awareness,15483,333,285,11,3.86%,440559,805959,73269,1.83,64.5%,32,22,15,13,4,35%,5,Control
2026-02-25,CMP-2026-001,Spring_CVR_Boost,Paid_Search,google_cpc,Brand_Terms,Newsletter,Tablet,Seoul,High_Intent,/pricing,Awareness,13100,472,415,22,5.3%,750480,1324400,60200,1.76,50.58%,45,23,24,10,4,40%,6,Control
2026-02-26,CMP-2026-002,Remarketing_Checkout,Paid_Social,kakao_paid,Lookalike_1pct,Native_Article,Mobile,Daegu,Price_Sensitive,/promo/spring,Consideration,13517,385,348,19,5.46%,568645,1180489,62131,2.08,52.06%,39,23,22,10,4,45%,6,Variant_A
2026-02-27,CMP-2026-003,Search_Brand_Core,Display,programmatic_cpm,New_Visitors,Static_Image,Desktop,Gwangju,Dormant_Users,/checkout,Conversion,13934,446,415,33,7.95%,612804,2114046,64062,3.45,50.27%,59,38,33,14,9,64%,8,Variant_A
2026-02-28,CMP-2026-004,Social_Video_Launch,Direct,brand_direct,Retargeting_7d,Short_Video,Tablet,Gangwon,Returning_Visitors,/blog/cvr-guide,Retention,14351,509,397,28,7.05%,270279,1847804,65993,6.84,53.23%,54,38,30,15,9,55%,7,Variant_A
2026-03-01,CMP-2026-005,Email_Nurture_Series,Paid_Social,meta_paid,Cart_Abandoners,Carousel,Mobile,Busan,Cart_Abandoners,/pricing,Awareness,14768,576,464,24,5.17%,384768,1630176,67924,4.24,57.56%,57,30,24,20,4,60%,7,Variant_B
2026-03-02,CMP-2026-006,Affiliate_Review_Push,Email,newsletter_email,Loyalty_Members,Text_Search,Desktop,Daejeon,VIP_Customers,/promo/spring,Consideration,15185,752,624,52,8.33%,424880,3632460,69855,8.55,54.84%,86,52,52,15,12,65%,8,Variant_B
2026-03-03,CMP-2026-007,Display_Prospecting,Referral,review_blog_referral,Competitor_Terms,Product_Feed,Tablet,Jeju,New_Prospects,/checkout,Conversion,15602,718,614,52,8.47%,417876,3732872,71786,8.93,56.34%,88,56,52,18,15,16%,8,Variant_B
2026-03-04,CMP-2026-008,Loyalty_Winback,Paid_Search,naver_cpc,Nonbrand_Generic,Native_Article,Mobile,Gyeonggi,High_Intent,/blog/cvr-guide,Retention,16019,465,409,34,8.31%,394785,2506378,73717,6.35,58.27%,60,42,34,14,11,21%,8,Control
2026-03-05,CMP-2026-009,Product_Demo_Trial,Organic_Search,google_organic,Product_Viewers,Static_Image,Desktop,Incheon,Price_Sensitive,/pricing,Awareness,16436,353,319,21,6.58%,217448,1588608,75648,7.31,48.79%,43,22,22,12,4,26%,7,Control
2026-03-06,CMP-2026-010,Weekend_Flash_Sale,Affiliate,partner_affiliate,Promo_Seekers,Short_Video,Tablet,Ulsan,Dormant_Users,/promo/spring,Consideration,16853,421,392,22,5.61%,266493,1706738,77579,6.4,51.85%,50,29,29,17,5,45%,7,Control
2026-03-07,CMP-2026-001,Spring_CVR_Boost,Paid_Search,naver_cpc,Brand_Terms,Carousel,Desktop,Seoul,Returning_Visitors,/promo/spring,Awareness,14470,572,446,25,5.61%,514800,1612750,64510,3.13,53.55%,49,31,25,11,7,36%,7,Variant_A
2026-03-08,CMP-2026-002,Remarketing_Checkout,Organic_Search,google_organic,Lookalike_1pct,Text_Search,Tablet,Daegu,Cart_Abandoners,/checkout,Consideration,14887,476,383,21,5.48%,317492,1395261,66441,4.39,55.43%,43,30,21,11,7,41%,7,Variant_A
2026-03-09,CMP-2026-003,Search_Brand_Core,Affiliate,partner_affiliate,New_Visitors,Product_Feed,Mobile,Gwangju,VIP_Customers,/blog/cvr-guide,Conversion,15304,543,451,35,7.76%,371412,2393020,68372,6.44,53.94%,63,35,35,15,6,46%,8,Variant_A
2026-03-10,CMP-2026-004,Social_Video_Launch,Paid_Search,google_cpc,Retargeting_7d,Newsletter,Desktop,Gangwon,New_Prospects,/pricing,Retention,15721,786,672,54,8.04%,747486,3796362,70303,5.08,55.24%,99,57,54,26,12,51%,8,Variant_B
2026-03-11,CMP-2026-005,Email_Nurture_Series,Paid_Social,kakao_paid,Cart_Abandoners,Native_Article,Tablet,Busan,High_Intent,/promo/spring,Awareness,16138,686,604,31,5.13%,574868,2239254,72234,3.9,61.02%,74,47,42,27,9,56%,6,Variant_B
2026-03-12,CMP-2026-006,Affiliate_Review_Push,Display,programmatic_cpm,Loyalty_Members,Static_Image,Mobile,Daejeon,Price_Sensitive,/checkout,Consideration,16555,762,690,42,6.09%,560070,3114930,74165,5.56,61.37%,79,55,52,17,14,61%,6,Variant_B
2026-03-13,CMP-2026-007,Display_Prospecting,Direct,brand_direct,Competitor_Terms,Carousel,Desktop,Jeju,Dormant_Users,/blog/cvr-guide,Conversion,16972,305,284,25,8.8%,229360,1902400,76096,8.29,45.68%,41,25,25,8,5,26%,8,Control
2026-03-14,CMP-2026-008,Loyalty_Winback,Paid_Social,meta_paid,Nonbrand_Generic,Text_Search,Tablet,Gyeonggi,Returning_Visitors,/pricing,Retention,17389,374,292,22,7.53%,332486,1716594,78027,5.16,49.16%,41,24,22,10,5,17%,8,Control
2026-03-15,CMP-2026-009,Product_Demo_Trial,Email,newsletter_email,Product_Viewers,Product_Feed,Mobile,Incheon,Cart_Abandoners,/promo/spring,Awareness,17806,570,459,33,7.19%,448020,2638614,79958,5.89,51.33%,64,41,33,18,9,22%,7,Control
2026-03-16,CMP-2026-010,Weekend_Flash_Sale,Referral,review_blog_referral,Promo_Seekers,Newsletter,Desktop,Ulsan,VIP_Customers,/checkout,Consideration,18223,519,431,33,7.66%,416757,2702337,81889,6.48,52.38%,63,44,33,19,11,27%,8,Variant_A
2026-03-17,CMP-2026-001,Spring_CVR_Boost,Paid_Social,meta_paid,Brand_Terms,Native_Article,Mobile,Seoul,New_Prospects,/checkout,Awareness,15840,507,433,16,3.7%,476580,1101120,68820,2.31,59.62%,40,21,30,10,3,32%,6,Variant_A
2026-03-18,CMP-2026-002,Remarketing_Checkout,Email,newsletter_email,Lookalike_1pct,Static_Image,Desktop,Daegu,High_Intent,/blog/cvr-guide,Consideration,16257,691,608,43,7.07%,578367,3042293,70751,5.26,56.6%,79,46,46,18,10,37%,7,Variant_A
2026-03-19,CMP-2026-003,Search_Brand_Core,Referral,review_blog_referral,New_Visitors,Short_Video,Tablet,Gwangju,Price_Sensitive,/pricing,Conversion,16674,650,588,42,7.14%,555100,3052644,72682,5.5,58.2%,79,51,42,20,12,42%,7,Variant_B
2026-03-20,CMP-2026-004,Social_Video_Launch,Paid_Search,naver_cpc,Retargeting_7d,Carousel,Mobile,Gangwon,Dormant_Users,/promo/spring,Retention,17091,914,850,60,7.06%,1024594,4476780,74613,4.37,60.02%,117,82,60,33,20,61%,6,Variant_B
2026-03-21,CMP-2026-005,Email_Nurture_Series,Organic_Search,google_organic,Cart_Abandoners,Text_Search,Desktop,Busan,Returning_Visitors,/checkout,Awareness,17508,805,628,34,5.41%,714840,2602496,76544,3.64,50.43%,78,41,36,28,6,52%,7,Variant_B
2026-03-22,CMP-2026-006,Affiliate_Review_Push,Affiliate,partner_affiliate,Loyalty_Members,Newsletter,Tablet,Daejeon,Cart_Abandoners,/blog/cvr-guide,Conversion,17925,323,260,22,8.46%,292315,1726450,78475,5.91,47.86%,36,22,22,6,5,57%,8,Control
2026-03-23,CMP-2026-007,Display_Prospecting,Paid_Search,google_cpc,Competitor_Terms,Native_Article,Mobile,Jeju,VIP_Customers,/pricing,Retention,18342,596,495,38,7.68%,698512,3055428,80406,4.37,50.65%,67,43,38,14,11,62%,8,Control
2026-03-24,CMP-2026-008,Loyalty_Winback,Paid_Social,kakao_paid,Nonbrand_Generic,Static_Image,Desktop,Gyeonggi,New_Prospects,/promo/spring,Awareness,18759,469,401,24,5.99%,496671,1976088,82337,3.98,54.71%,49,34,30,14,8,13%,7,Control
2026-03-25,CMP-2026-009,Product_Demo_Trial,Display,programmatic_cpm,Product_Viewers,Short_Video,Tablet,Incheon,High_Intent,/checkout,Consideration,19176,547,481,33,6.86%,522932,2780844,84268,5.32,55.2%,65,34,33,19,6,18%,7,Variant_A
2026-03-26,CMP-2026-010,Weekend_Flash_Sale,Direct,brand_direct,Promo_Seekers,Carousel,Mobile,Ulsan,Price_Sensitive,/blog/cvr-guide,Conversion,19593,627,567,48,8.47%,610071,4137552,86199,6.78,54.64%,88,51,48,25,11,23%,8,Variant_A
2026-03-27,CMP-2026-001,Spring_CVR_Boost,Paid_Social,kakao_paid,Brand_Terms,Text_Search,Tablet,Seoul,Dormant_Users,/blog/cvr-guide,Consideration,17210,611,568,41,7.22%,678210,2998330,73130,4.42,58.09%,72,46,41,14,11,42%,7,Variant_A
2026-03-28,CMP-2026-002,Remarketing_Checkout,Display,programmatic_cpm,Lookalike_1pct,Product_Feed,Mobile,Daegu,Returning_Visitors,/pricing,Conversion,17627,687,536,34,6.34%,691809,2552074,75061,3.69,61.02%,66,46,34,16,11,33%,6,Variant_B
2026-03-29,CMP-2026-003,Search_Brand_Core,Direct,brand_direct,New_Visitors,Newsletter,Desktop,Gwangju,Cart_Abandoners,/promo/spring,Retention,18044,767,617,40,6.48%,785408,3079680,76992,3.92,48.93%,79,41,43,21,7,38%,7,Variant_B
2026-03-30,CMP-2026-004,Social_Video_Launch,Paid_Social,meta_paid,Retargeting_7d,Native_Article,Tablet,Gangwon,VIP_Customers,/checkout,Awareness,18461,849,705,32,4.54%,985689,2525536,78923,2.56,53.34%,79,46,53,27,7,43%,6,Variant_B
2026-03-31,CMP-2026-005,Email_Nurture_Series,Email,newsletter_email,Cart_Abandoners,Short_Video,Mobile,Busan,New_Prospects,/blog/cvr-guide,Consideration,18878,472,404,27,6.68%,499376,2183058,80854,4.37,52.05%,56,36,27,18,8,48%,7,Control
2026-04-01,CMP-2026-006,Affiliate_Review_Push,Referral,review_blog_referral,Loyalty_Members,Carousel,Desktop,Daejeon,High_Intent,/pricing,Conversion,19295,415,365,29,7.95%,446125,2400765,82785,5.38,51.97%,49,34,29,9,10,53%,8,Control
2026-04-02,CMP-2026-007,Display_Prospecting,Paid_Search,naver_cpc,Competitor_Terms,Text_Search,Tablet,Jeju,Price_Sensitive,/promo/spring,Retention,19712,710,643,50,7.78%,952820,4235800,84716,4.45,53.91%,88,50,50,19,9,58%,8,Control
2026-04-03,CMP-2026-008,Loyalty_Winback,Organic_Search,google_organic,Nonbrand_Generic,Product_Feed,Mobile,Gyeonggi,Dormant_Users,/checkout,Awareness,20129,574,534,27,5.06%,636566,2339469,86647,3.68,59.42%,61,35,34,18,6,77%,7,Variant_A
2026-04-04,CMP-2026-009,Product_Demo_Trial,Affiliate,partner_affiliate,Product_Viewers,Newsletter,Desktop,Incheon,Returning_Visitors,/blog/cvr-guide,Consideration,20546,657,512,39,7.62%,739782,3454542,88578,4.67,57.53%,73,47,39,20,11,14%,8,Variant_A
2026-04-05,CMP-2026-010,Weekend_Flash_Sale,Paid_Search,google_cpc,Promo_Seekers,Native_Article,Tablet,Ulsan,Cart_Abandoners,/pricing,Conversion,20963,975,785,73,9.3%,1358175,6607157,90509,4.86,56.88%,128,90,73,35,24,19%,8,Variant_A
2026-04-06,CMP-2026-001,Spring_CVR_Boost,Organic_Search,google_organic,Brand_Terms,Static_Image,Desktop,Seoul,VIP_Customers,/pricing,Consideration,18580,725,602,44,7.31%,841000,3407360,77440,4.05,47.77%,78,44,44,14,8,24%,7,Variant_B
2026-04-07,CMP-2026-002,Remarketing_Checkout,Affiliate,partner_affiliate,Lookalike_1pct,Short_Video,Tablet,Daegu,New_Prospects,/promo/spring,Conversion,18997,807,690,66,9.57%,949839,5238486,79371,5.52,46.3%,106,66,66,20,15,29%,8,Variant_B
2026-04-08,CMP-2026-003,Search_Brand_Core,Paid_Search,google_cpc,New_Visitors,Carousel,Mobile,Gwangju,High_Intent,/checkout,Retention,19414,1107,974,62,6.37%,1598508,5040724,81302,3.15,52.48%,124,79,62,33,17,34%,7,Variant_B
2026-04-09,CMP-2026-004,Social_Video_Launch,Paid_Social,kakao_paid,Retargeting_7d,Product_Feed,Desktop,Gangwon,Price_Sensitive,/blog/cvr-guide,Awareness,19831,357,323,15,4.64%,475167,1248495,83233,2.63,56.6%,37,26,20,13,5,39%,6,Control
2026-04-10,CMP-2026-005,Email_Nurture_Series,Display,programmatic_cpm,Cart_Abandoners,Newsletter,Tablet,Busan,Dormant_Users,/pricing,Consideration,20248,435,405,22,5.43%,534180,1873608,85164,3.51,57.2%,51,27,28,18,4,58%,7,Control
2026-04-11,CMP-2026-006,Affiliate_Review_Push,Direct,brand_direct,Loyalty_Members,Native_Article,Mobile,Daejeon,Returning_Visitors,/promo/spring,Conversion,20665,517,403,28,6.95%,643665,2438660,87095,3.79,56.77%,51,30,30,10,6,49%,7,Control
2026-04-12,CMP-2026-007,Display_Prospecting,Paid_Social,meta_paid,Competitor_Terms,Static_Image,Desktop,Jeju,Cart_Abandoners,/checkout,Retention,21082,601,484,35,7.23%,830582,3115910,89026,3.75,58.08%,63,40,35,14,10,54%,7,Variant_A
2026-04-13,CMP-2026-008,Loyalty_Winback,Email,newsletter_email,Nonbrand_Generic,Short_Video,Tablet,Gyeonggi,VIP_Customers,/blog/cvr-guide,Awareness,21499,838,696,46,6.61%,1071802,4184022,90957,3.9,60.65%,90,63,46,24,15,59%,6,Variant_A
2026-04-14,CMP-2026-009,Product_Demo_Trial,Referral,review_blog_referral,Product_Viewers,Carousel,Mobile,Incheon,New_Prospects,/pricing,Consideration,21916,778,665,40,6.02%,1008288,3715520,92888,3.68,49.57%,85,44,40,26,7,64%,7,Variant_A
2026-04-15,CMP-2026-010,Weekend_Flash_Sale,Paid_Search,naver_cpc,Promo_Seekers,Text_Search,Desktop,Ulsan,High_Intent,/promo/spring,Conversion,22333,1117,983,93,9.46%,1745871,8818167,94819,5.05,46.46%,163,95,93,43,21,15%,8,Variant_B
2026-04-16,CMP-2026-001,Spring_CVR_Boost,Email,newsletter_email,Brand_Terms,Product_Feed,Mobile,Seoul,Price_Sensitive,/promo/spring,Conversion,19950,988,894,85,9.51%,1314040,6948750,81750,5.29,48.09%,135,86,85,21,24,20%,8,Variant_B
2026-04-17,CMP-2026-002,Remarketing_Checkout,Referral,review_blog_referral,Lookalike_1pct,Newsletter,Desktop,Daegu,Dormant_Users,/checkout,Retention,20367,937,871,72,8.27%,1262139,6025032,83681,4.77,51.52%,124,87,72,25,24,39%,8,Variant_B
2026-04-18,CMP-2026-003,Search_Brand_Core,Paid_Search,naver_cpc,New_Visitors,Static_Image,Tablet,Gwangju,Returning_Visitors,/blog/cvr-guide,Awareness,20784,603,470,33,7.02%,973242,2825196,85612,2.9,54.97%,63,33,33,16,6,30%,6,Control
2026-04-19,CMP-2026-004,Social_Video_Launch,Organic_Search,google_organic,Retargeting_7d,Short_Video,Mobile,Gangwon,Cart_Abandoners,/pricing,Consideration,21201,456,367,17,4.63%,237576,1488231,87543,6.26,60.02%,42,24,19,14,4,35%,6,Control
2026-04-20,CMP-2026-005,Email_Nurture_Series,Affiliate,partner_affiliate,Cart_Abandoners,Carousel,Desktop,Busan,VIP_Customers,/promo/spring,Conversion,21618,540,448,35,7.81%,290520,3131590,89474,10.78,57.27%,67,43,35,20,10,40%,8,Control
2026-04-21,CMP-2026-006,Affiliate_Review_Push,Paid_Search,google_cpc,Loyalty_Members,Text_Search,Tablet,Daejeon,New_Prospects,/checkout,Retention,22035,870,744,53,7.12%,700350,4844465,91405,6.92,59.93%,94,66,53,18,17,45%,7,Variant_A
2026-04-22,CMP-2026-007,Display_Prospecting,Paid_Social,kakao_paid,Competitor_Terms,Product_Feed,Mobile,Jeju,High_Intent,/blog/cvr-guide,Awareness,22452,718,632,28,4.43%,496856,2613408,93336,5.26,51.8%,65,34,44,18,5,50%,7,Variant_A
2026-04-23,CMP-2026-008,Loyalty_Winback,Display,programmatic_cpm,Nonbrand_Generic,Newsletter,Desktop,Gyeonggi,Price_Sensitive,/pricing,Consideration,22869,812,735,46,6.26%,478268,4382282,95267,9.16,50.94%,92,53,55,25,11,55%,7,Variant_A
2026-04-24,CMP-2026-009,Product_Demo_Trial,Direct,brand_direct,Product_Viewers,Native_Article,Tablet,Incheon,Dormant_Users,/promo/spring,Conversion,23286,908,844,66,7.82%,550248,6415068,97198,11.66,50.45%,122,78,66,33,18,74%,8,Variant_B
2026-04-25,CMP-2026-010,Weekend_Flash_Sale,Paid_Social,meta_paid,Promo_Seekers,Static_Image,Mobile,Ulsan,Returning_Visitors,/checkout,Retention,23703,1007,785,54,6.88%,748201,5352966,99129,7.15,53.47%,110,77,54,35,18,65%,7,Variant_B
2026-04-26,CMP-2026-001,Spring_CVR_Boost,Display,programmatic_cpm,Brand_Terms,Short_Video,Tablet,Seoul,Cart_Abandoners,/checkout,Conversion,21320,981,790,65,8.23%,627840,5593900,86060,8.91,53.28%,109,65,65,19,12,16%,8,Variant_B
2026-04-27,CMP-2026-002,Remarketing_Checkout,Direct,brand_direct,Lookalike_1pct,Text_Search,Mobile,Daegu,VIP_Customers,/blog/cvr-guide,Retention,21737,391,325,24,7.38%,256887,2111784,87991,8.22,56.17%,43,25,24,9,6,21%,7,Control
2026-04-28,CMP-2026-003,Search_Brand_Core,Paid_Social,meta_paid,New_Visitors,Product_Feed,Desktop,Gwangju,New_Prospects,/pricing,Awareness,22154,476,407,26,6.39%,377944,2337972,89922,6.19,59.25%,52,33,28,14,7,26%,7,Control
2026-04-29,CMP-2026-004,Social_Video_Launch,Email,newsletter_email,Retargeting_7d,Newsletter,Tablet,Gangwon,High_Intent,/promo/spring,Consideration,22571,722,635,55,8.66%,498902,5051915,91853,10.13,57.78%,97,68,55,25,18,31%,8,Control
2026-04-30,CMP-2026-005,Email_Nurture_Series,Referral,review_blog_referral,Cart_Abandoners,Native_Article,Mobile,Busan,Price_Sensitive,/checkout,Conversion,22988,655,593,38,6.41%,463740,3563792,93784,7.68,49.03%,80,42,38,26,7,36%,7,Variant_A
2026-05-01,CMP-2026-006,Affiliate_Review_Push,Paid_Search,naver_cpc,Loyalty_Members,Static_Image,Desktop,Daejeon,Dormant_Users,/blog/cvr-guide,Retention,23405,1006,936,69,7.37%,980850,6604335,95715,6.73,49.38%,120,70,69,22,16,55%,7,Variant_A
2026-05-02,CMP-2026-007,Display_Prospecting,Organic_Search,google_organic,Competitor_Terms,Short_Video,Tablet,Jeju,Returning_Visitors,/pricing,Awareness,23822,846,660,30,4.55%,627732,2929380,97646,4.67,55.03%,69,44,38,19,8,46%,7,Variant_A
2026-05-03,CMP-2026-008,Loyalty_Winback,Affiliate,partner_affiliate,Nonbrand_Generic,Carousel,Mobile,Gyeonggi,Cart_Abandoners,/promo/spring,Consideration,24239,945,761,45,5.91%,717255,4480965,99577,6.25,54.83%,93,65,48,26,15,51%,7,Variant_B
2026-05-04,CMP-2026-009,Product_Demo_Trial,Paid_Search,google_cpc,Product_Viewers,Text_Search,Desktop,Incheon,VIP_Customers,/checkout,Conversion,24656,1319,1095,96,8.77%,1353294,9744768,101508,7.2,52.52%,170,96,96,43,17,56%,8,Variant_B
2026-05-05,CMP-2026-010,Weekend_Flash_Sale,Paid_Social,kakao_paid,Promo_Seekers,Product_Feed,Tablet,Ulsan,New_Prospects,/blog/cvr-guide,Retention,25073,1153,986,69,7%,1052689,7137291,103439,6.78,56.7%,139,81,74,43,16,61%,7,Variant_B
2026-05-06,CMP-2026-001,Spring_CVR_Boost,Affiliate,partner_affiliate,Brand_Terms,Native_Article,Desktop,Seoul,High_Intent,/blog/cvr-guide,Conversion,22690,408,359,32,8.91%,330480,2891840,90370,8.75,55.73%,52,33,32,9,9,12%,8,Control
2026-05-07,CMP-2026-002,Remarketing_Checkout,Paid_Search,google_cpc,Lookalike_1pct,Static_Image,Tablet,Daegu,Price_Sensitive,/pricing,Retention,4607,150,136,11,8.09%,161550,1015311,92301,6.28,58.57%,19,13,11,4,4,17%,8,Control
2026-05-08,CMP-2026-003,Search_Brand_Core,Paid_Social,kakao_paid,New_Visitors,Short_Video,Mobile,Gwangju,Dormant_Users,/promo/spring,Awareness,5024,126,117,7,5.98%,121464,659624,94232,5.43,49.63%,14,7,7,4,1,36%,7,Control
2026-05-09,CMP-2026-004,Social_Video_Launch,Display,programmatic_cpm,Retargeting_7d,Carousel,Desktop,Gangwon,Returning_Visitors,/checkout,Consideration,5441,155,121,9,7.44%,133455,865467,96163,6.49,49.28%,17,10,9,5,2,27%,7,Variant_A
2026-05-10,CMP-2026-005,Email_Nurture_Series,Direct,brand_direct,Cart_Abandoners,Text_Search,Tablet,Busan,Cart_Abandoners,/blog/cvr-guide,Conversion,5858,187,151,13,8.61%,164186,1275222,98094,7.77,49.35%,24,15,13,7,4,32%,8,Variant_A
2026-05-11,CMP-2026-006,Affiliate_Review_Push,Paid_Social,meta_paid,Loyalty_Members,Product_Feed,Mobile,Daejeon,VIP_Customers,/pricing,Awareness,6275,223,185,7,3.78%,226345,700175,100025,3.09,57.81%,17,12,14,4,2,37%,7,Variant_A
2026-05-12,CMP-2026-007,Display_Prospecting,Email,newsletter_email,Competitor_Terms,Newsletter,Desktop,Jeju,New_Prospects,/promo/spring,Consideration,6692,308,263,18,6.84%,280896,1835208,101956,6.53,55.22%,34,18,18,8,3,42%,7,Variant_B
2026-05-13,CMP-2026-008,Loyalty_Winback,Referral,review_blog_referral,Nonbrand_Generic,Native_Article,Tablet,Gyeonggi,High_Intent,/checkout,Conversion,7109,302,266,19,7.14%,280558,1973853,103887,7.04,56.5%,36,21,19,9,4,47%,7,Variant_B
2026-05-14,CMP-2026-009,Product_Demo_Trial,Paid_Search,naver_cpc,Product_Viewers,Static_Image,Mobile,Incheon,Price_Sensitive,/blog/cvr-guide,Retention,7526,429,388,27,6.96%,513084,2857086,105818,5.57,58.46%,53,34,27,15,8,52%,7,Variant_B
2026-05-15,CMP-2026-010,Weekend_Flash_Sale,Organic_Search,google_organic,Promo_Seekers,Carousel,Desktop,Ulsan,Dormant_Users,/pricing,Awareness,7943,143,133,7,5.26%,137709,754243,107749,5.48,62.54%,17,12,8,6,2,71%,6,Control
2026-05-16,CMP-2026-001,Spring_CVR_Boost,Referral,review_blog_referral,Brand_Terms,Text_Search,Mobile,Seoul,Returning_Visitors,/pricing,Retention,5560,120,94,6,6.38%,117600,568080,94680,4.83,49.07%,11,6,6,2,1,62%,7,Control
2026-05-17,CMP-2026-002,Remarketing_Checkout,Paid_Search,naver_cpc,Lookalike_1pct,Product_Feed,Desktop,Daegu,Cart_Abandoners,/promo/spring,Awareness,5977,215,173,11,6.36%,268105,1062721,96611,3.96,50.8%,22,13,13,5,3,13%,7,Control
2026-05-18,CMP-2026-003,Search_Brand_Core,Organic_Search,google_organic,New_Visitors,Newsletter,Tablet,Gwangju,VIP_Customers,/checkout,Consideration,6394,182,151,10,6.62%,184548,985420,98542,5.34,52.13%,19,12,10,5,3,18%,7,Variant_A
2026-05-19,CMP-2026-004,Social_Video_Launch,Affiliate,partner_affiliate,Retargeting_7d,Native_Article,Mobile,Gangwon,New_Prospects,/blog/cvr-guide,Conversion,6811,218,186,16,8.6%,224758,1607568,100473,7.15,51.06%,29,20,16,7,5,23%,8,Variant_A
2026-05-20,CMP-2026-005,Email_Nurture_Series,Paid_Search,google_cpc,Cart_Abandoners,Static_Image,Desktop,Busan,High_Intent,/pricing,Retention,7228,336,296,27,9.12%,436128,2764908,102404,6.34,52.03%,48,27,27,13,5,28%,8,Variant_A
2026-05-21,CMP-2026-006,Affiliate_Review_Push,Paid_Social,kakao_paid,Loyalty_Members,Short_Video,Tablet,Daejeon,Price_Sensitive,/promo/spring,Awareness,7645,298,270,17,6.3%,353130,1773695,104335,5.02,57.68%,32,19,17,6,4,33%,7,Variant_B
2026-05-22,CMP-2026-007,Display_Prospecting,Display,programmatic_cpm,Competitor_Terms,Carousel,Mobile,Jeju,Dormant_Users,/checkout,Consideration,8062,343,319,15,4.7%,371126,1593990,106266,4.3,61.62%,34,22,22,9,4,52%,6,Variant_B
2026-05-23,CMP-2026-008,Loyalty_Winback,Direct,brand_direct,Nonbrand_Generic,Text_Search,Desktop,Gyeonggi,Returning_Visitors,/blog/cvr-guide,Conversion,8479,390,304,22,7.24%,428610,2380334,108197,5.55,59.76%,41,29,23,10,7,43%,7,Variant_B
2026-05-24,CMP-2026-009,Product_Demo_Trial,Paid_Social,meta_paid,Product_Viewers,Newsletter,Tablet,Incheon,Cart_Abandoners,/pricing,Retention,8896,160,129,8,6.2%,197760,385024,48128,1.95,49.32%,17,9,8,5,1,48%,6,Control
2026-05-25,CMP-2026-010,Weekend_Flash_Sale,Email,newsletter_email,Promo_Seekers,Native_Article,Mobile,Ulsan,VIP_Customers,/promo/spring,Awareness,9313,265,220,13,5.91%,300245,650767,50059,2.17,51.43%,29,17,13,10,3,53%,6,Control
2026-01-01,CMP-2026-001,Spring_CVR_Boost,Direct,brand_direct,Brand_Terms,Static_Image,Tablet,Seoul,New_Prospects,/promo/spring,Retention,6930,173,148,10,6.76%,198950,369900,36990,1.86,51.94%,18,12,10,4,3,58%,6,Control
2026-01-02,CMP-2026-002,Remarketing_Checkout,Paid_Social,meta_paid,Lookalike_1pct,Short_Video,Mobile,Daegu,High_Intent,/checkout,Awareness,7347,209,184,9,4.89%,268983,350289,38921,1.3,56.25%,20,14,12,5,3,63%,6,Variant_A
2026-01-03,CMP-2026-003,Search_Brand_Core,Email,newsletter_email,New_Visitors,Carousel,Desktop,Gwangju,Price_Sensitive,/blog/cvr-guide,Consideration,7764,303,274,22,8.03%,358752,898744,40852,2.51,53.56%,40,22,22,9,4,14%,7,Variant_A
2026-01-04,CMP-2026-004,Social_Video_Launch,Referral,review_blog_referral,Retargeting_7d,Text_Search,Tablet,Gangwon,Dormant_Users,/pricing,Conversion,8181,290,270,22,8.15%,348290,941226,42783,2.7,55.09%,40,23,22,11,5,33%,7,Variant_A
2026-01-05,CMP-2026-005,Email_Nurture_Series,Paid_Search,naver_cpc,Cart_Abandoners,Product_Feed,Mobile,Busan,Returning_Visitors,/promo/spring,Retention,8598,430,335,27,8.06%,631240,1207278,44714,1.91,56.92%,51,33,27,15,8,24%,7,Variant_B
2026-01-06,CMP-2026-006,Affiliate_Review_Push,Organic_Search,google_organic,Loyalty_Members,Newsletter,Desktop,Daejeon,Cart_Abandoners,/checkout,Awareness,9015,383,308,20,6.49%,473005,932900,46645,1.97,60.81%,37,26,20,7,7,29%,5,Variant_B
2026-01-07,CMP-2026-007,Display_Prospecting,Affiliate,partner_affiliate,Competitor_Terms,Native_Article,Tablet,Jeju,VIP_Customers,/blog/cvr-guide,Consideration,9432,434,360,28,7.78%,543368,1360128,48576,2.5,47.11%,49,28,28,10,5,34%,7,Variant_B
2026-01-08,CMP-2026-008,Loyalty_Winback,Paid_Search,google_cpc,Nonbrand_Generic,Short_Video,Mobile,Gyeonggi,New_Prospects,/pricing,Conversion,9849,286,245,18,7.35%,434434,909126,50507,2.09,49.41%,33,19,18,8,4,39%,6,Control
2026-01-09,CMP-2026-009,Product_Demo_Trial,Paid_Social,kakao_paid,Product_Viewers,Carousel,Desktop,Incheon,High_Intent,/promo/spring,Retention,10266,221,194,13,6.7%,310726,681694,52438,2.19,52.02%,26,17,13,8,4,44%,6,Control
